capitulo,titulo_capitulo,articulo,texto
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - d) Implementar y monitorear los instrumentos de gestión y protección ambiental en materia hídrica.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - e) Coordinar y elaborar un sistema unificado de información de carácter público.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"    - f) Impulsar la constitución de los consejos de cuencas. Les prestará asistencia para que realicen la gestión integrada, gobernanza participativa y planificación de las intervenciones en los cuerpos de agua y los ecosistemas asociados a la o las respectivas cuencas."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - g) Fiscalizar el uso responsable y sostenible del agua.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"    - h) Imponer las sanciones administrativas que correspondan, las que podrán ser reclamadas ante los tribunales de justicia."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - i) Determinar la calidad de los servicios sanitarios.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,    - j) Las demás que establezca la ley.
Capítulo III,Naturaleza y Medioambiente,Artículo 144,"3. La ley regulará la organización, la designación, la estructura, el funcionamiento y las demás funciones y competencias de la Agencia Nacional del Agua."
Capítulo III,Naturaleza y Medioambiente,Artículo 144,## Estatuto de los minerales
Capítulo III,Naturaleza y Medioambiente,Artículo 145,"1. El Estado tiene el dominio absoluto, exclusivo, inalienable e imprescriptible de todas las minas y las sustancias minerales, metálicas, no metálicas y los depósitos de sustancias fósiles e hidrocarburos existentes en el territorio nacional, con excepción de las arcillas superficiales, sin perjuicio de la propiedad sobre los terrenos en que estén situadas."
Capítulo III,Naturaleza y Medioambiente,Artículo 145,"2. La exploración, la explotación y el aprovechamiento de estas sustancias se sujetarán a una regulación que considere su carácter finito, no renovable, de interés público intergeneracional y la protección ambiental."
Capítulo III,Naturaleza y Medioambiente,Artículo 146,"Quedan excluidos de toda actividad minera los glaciares, las áreas protegidas, las que por razones de protección hidrográfica establezca la ley y las demás que ella declare."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,"1. El Estado debe establecer una política para la actividad minera y su encadenamiento productivo, la que considerará, a lo menos, la protección ambiental y social, la innovación y la generación de valor agregado."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,"2. El Estado debe regular los impactos y efectos sinérgicos generados en las distintas etapas de la actividad minera, incluyendo su encadenamiento productivo, cierre o paralización, en la forma que establezca la ley. Es obligación de quien realice la actividad minera destinar recursos para reparar los daños causados, los pasivos ambientales y mitigar sus efectos nocivos en los territorios en que esta se desarrolla, de acuerdo con la ley. La ley especificará el modo en que esta obligación se aplicará a la pequeña minería y pirquineros."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,"3. El Estado adoptará las medidas necesarias para proteger a la pequeña minería y pirquineros, las fomentará y facilitará el acceso y uso de las herramientas, tecnologías y recursos para el ejercicio tradicional y sustentable de la actividad."
Capítulo III,Naturaleza y Medioambiente,Artículo 147,## Defensoría de la Naturaleza
Capítulo III,Naturaleza y Medioambiente,Artículo 148,"1. Un órgano autónomo, con personalidad jurídica y patrimonio propio, denominado Defensoría de la Naturaleza, tendrá como función la promoción y protección de los derechos de la naturaleza y de los derechos ambientales asegurados en esta Constitución, en los tratados internacionales ambientales ratificados y vigentes en Chile, frente los actos u omisiones de los órganos de la Administración del Estado y de entidades privadas."
Capítulo III,Naturaleza y Medioambiente,Artículo 148,"2. La Defensoría de la Naturaleza se desconcentrará en defensorías regionales. La ley determinará las atribuciones, la organización, el funcionamiento y los procedimientos de la Defensoría de la Naturaleza."
Capítulo III,Naturaleza y Medioambiente,Artículo 149,La Defensoría de la Naturaleza tendrá las siguientes atribuciones:
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- a) Fiscalizar a los órganos del Estado y a las entidades privadas en el cumplimiento de sus obligaciones en materia de derechos ambientales y derechos de la naturaleza.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- b) Formular recomendaciones en las materias de su competencia.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- c) Tramitar y hacer seguimiento de los reclamos sobre vulneraciones de derechos ambientales y derivar en su caso.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- d) Deducir acciones constitucionales y legales cuando se vulneren derechos ambientales y de la naturaleza.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- e) Promover la formación y educación en derechos ambientales y de la naturaleza.
Capítulo III,Naturaleza y Medioambiente,Artículo 149,- f) Las demás que le encomienden la Constitución y la ley.
Capítulo III,Naturaleza y Medioambiente,Artículo 150,"La dirección de la Defensoría de la Naturaleza estará a cargo de una defensora o un defensor de la naturaleza, quien será designado en sesión conjunta del Congreso de Diputadas y Diputados y de la Cámara de las Regiones, por la mayoría de sus integrantes en ejercicio, a partir de una terna elaborada por las organizaciones ambientales de la sociedad civil, en la forma que determine la ley."
Capitulo IV,Participación Democrática,Artículo 151,"1. En Chile, la democracia se ejerce en forma directa, participativa, comunitaria y representativa."
Capitulo IV,Participación Democrática,Artículo 151,2. Es deber del Estado promover y garantizar la adopción de medidas para la participación efectiva de toda la sociedad en el proceso político y el pleno ejercicio de la democracia.
Capitulo IV,Participación Democrática,Artículo 151,"3. La actividad política organizada contribuye a la expresión de la voluntad popular y su funcionamiento respetará los principios de autonomía, probidad, transparencia financiera y democracia interna."
Capitulo IV,Participación Democrática,Artículo 151,## Participación y representación democrática
Capitulo IV,Participación Democrática,Artículo 152,"1. La ciudadanía tiene el derecho a participar de manera incidente o vinculante en los asuntos de interés público. Es deber del Estado dar adecuada publicidad a los mecanismos de democracia, tendiendo a favorecer una amplia deliberación de las personas, conforme a esta Constitución y las leyes."
Capitulo IV,Participación Democrática,Artículo 152,"2. Los poderes públicos deberán facilitar la participación del pueblo en la vida política, económica, cultural y social del país. Será deber de cada órgano del Estado disponer de los mecanismos para promover y asegurar la participación y deliberación ciudadana incidente en la gestión de asuntos públicos, incluyendo medios digitales."
Capitulo IV,Participación Democrática,Artículo 152,"3. La ley regulará la utilización de herramientas digitales en la implementación de los mecanismos de participación establecidos en esta Constitución y que sean distintos al sufragio, buscando que su uso promueva la más alta participación posible en dichos procesos, al igual que la más amplia información, transparencia, seguridad y accesibilidad del proceso para todas las personas sin distinción."
Capitulo IV,Participación Democrática,Artículo 153,"1. El Estado deberá garantizar a toda la ciudadanía, sin discriminación de ningún tipo, el ejercicio pleno de una democracia participativa, a través de mecanismos de democracia directa."
Capitulo IV,Participación Democrática,Artículo 153,"2. Corresponderá al Estado, en sus diferentes ámbitos y funciones, garantizar la participación democrática e incidencia política de todas las personas, especialmente la de los grupos históricamente excluidos y de especial protección."
Capitulo IV,Participación Democrática,Artículo 153,"3. El Estado deberá garantizar la inclusión de estos grupos en las políticas públicas y en el proceso de formación de las leyes, mediante mecanismos de participación popular y deliberación política, asegurando medidas afirmativas que posibiliten su participación efectiva."
Capitulo IV,Participación Democrática,Artículo 153,4. La ley deberá establecer las medidas afirmativas necesarias para garantizar la participación y representación política de las personas con discapacidad.
Capitulo IV,Participación Democrática,Artículo 154,1. Es deber del Estado garantizar la democracia ambiental. Se reconoce el derecho de participación informada en materias ambientales. Los mecanismos de participación serán determinados por ley.
Capitulo IV,Participación Democrática,Artículo 154,"2. Todas las personas tienen derecho a acceder a la información ambiental que conste en poder o custodia del Estado. Los particulares deberán entregar la información ambiental relacionada con su actividad, en los términos que establezca la ley."
Capitulo IV,Participación Democrática,Artículo 155,"El estatuto regional considerará mecanismos de democracia directa o semidirecta que aseguren la participación incidente o vinculante de la población, según corresponda. Del mismo modo, considerará, al menos, la implementación de iniciativas populares de normas locales a nivel regional y municipal, de carácter vinculante, así como consultas ciudadanas incidentes. La planificación presupuestaria de las distintas entidades territoriales siempre incorporará elementos de participación incidente de la población."
Capitulo IV,Participación Democrática,Artículo 156,"Se podrán someter a referéndum las materias de competencia de los gobiernos regionales y locales conforme a lo dispuesto en la ley y en el estatuto regional respectivo. Una ley señalará los requisitos mínimos para solicitarlos o convocarlos, la época en que se podrán llevar a cabo, los mecanismos de votación y escrutinio, y los casos y condiciones en que sus resultados serán vinculantes."
Capitulo IV,Participación Democrática,Artículo 157,"1. Un grupo de personas habilitadas para sufragar, equivalente al tres por ciento del último padrón electoral, podrá presentar una iniciativa popular de ley para su tramitación legislativa."
Capitulo IV,Participación Democrática,Artículo 157,"2. Se contará con un plazo de ciento ochenta días desde su registro ante el Servicio Electoral para que la propuesta sea conocida por la ciudadanía y pueda reunir los patrocinios exigidos. En caso de reunir el apoyo requerido, el Servicio Electoral remitirá la propuesta al Congreso, para que este dé inicio al proceso de formación de ley. Las iniciativas populares de ley ingresarán a la agenda legislativa con la urgencia determinada por la ley. El Poder Legislativo informará cada seis meses sobre el avance de la tramitación de estas iniciativas."
Capitulo IV,Participación Democrática,Artículo 157,"3. La iniciativa popular de ley no podrá referirse a tributos, a la administración presupuestaria del Estado ni limitar derechos fundamentales."
Capitulo IV,Participación Democrática,Artículo 158,"1. Un grupo de personas habilitadas para sufragar, equivalente al cinco por ciento del último padrón electoral, podrá presentar una iniciativa de derogación total o parcial de una o más leyes promulgadas bajo la vigencia de esta Constitución para que sea votada mediante referéndum nacional."
Capitulo IV,Participación Democrática,Artículo 158,2. No serán admisibles las iniciativas sobre materias que digan relación con tributos o administración presupuestaria del Estado.
Capitulo IV,Participación Democrática,Artículo 159,"El Congreso de Diputadas y Diputados, la Cámara de las Regiones y los órganos representativos a nivel regional y comunal realizarán audiencias públicas en las oportunidades y las formas que la ley disponga, en el que las personas y la sociedad civil den a conocer propuestas y argumentos."
Capitulo IV,Participación Democrática,Artículo 159,## Sufragio y sistema electoral
Capitulo IV,Participación Democrática,Artículo 160,"1. El sufragio es universal, igualitario, libre, directo, personal y secreto. Es obligatorio para quienes hayan cumplido dieciocho años y voluntario para las personas de dieciséis y diecisiete años y para las chilenas y los chilenos que vivan en el extranjero. Su ejercicio constituye un derecho y un deber cívico."
Capitulo IV,Participación Democrática,Artículo 160,"2. Ninguna autoridad u órgano podrá impedir el ejercicio de este derecho, debiendo a su vez proporcionar todos los medios necesarios para que las personas habilitadas para sufragar puedan ejercerlo."
Capitulo IV,Participación Democrática,Artículo 160,3. El resguardo de la seguridad pública durante las votaciones populares corresponderá a las instituciones que indique la ley.
Capitulo IV,Participación Democrática,Artículo 160,"4. Las chilenas y los chilenos en el exterior podrán sufragar en los plebiscitos y consultas nacionales, elecciones presidenciales y de diputadas y diputados. Para esto se constituirá un distrito especial exterior."
Capitulo IV,Participación Democrática,Artículo 160,5. Las personas extranjeras avecindadas por al menos cinco años en Chile podrán ejercer este derecho en los casos y las formas que determinen la Constitución y la ley.
Capitulo IV,Participación Democrática,Artículo 160,6. La ley establecerá las condiciones para asegurar el ejercicio de este derecho.
Capitulo IV,Participación Democrática,Artículo 161,"1. Para las elecciones populares, la ley creará un sistema electoral conforme a los principios de igualdad sustantiva, paridad, alternabilidad de género y los demás contemplados en esta Constitución y las leyes. Dicho sistema deberá garantizar que los órganos colegiados tengan una composición paritaria y promoverá la paridad en las candidaturas a cargos unipersonales. Asimismo, asegurará que las listas electorales sean encabezadas siempre por una mujer."
Capitulo IV,Participación Democrática,Artículo 161,"2. Habrá un registro electoral público al que se incorporarán, por el solo ministerio de la ley, quienes cumplan los requisitos establecidos por esta Constitución. La ley determinará su organización y funcionamiento."
Capitulo IV,Participación Democrática,Artículo 162,"1. En los órganos colegiados de representación popular a nivel nacional, regional y comunal se establecen escaños reservados para los pueblos y naciones indígenas cuando corresponda y en proporción a su población dentro del territorio electoral respectivo. Sus requisitos, forma de postulación, número y mecanismos de actualización serán determinados por la ley."
Capitulo IV,Participación Democrática,Artículo 162,"2. Podrán votar por estos escaños solo quienes pertenezcan a dichos pueblos y naciones y que formen parte de un registro especial denominado Registro Electoral Indígena. Dicho registro será elaborado y administrado por el Servicio Electoral sobre la base de los archivos que conservan los órganos estatales, de los que posean los pueblos y naciones indígenas sobre sus miembros y de las solicitudes de ciudadanos y ciudadanas que se autoidentifiquen como tales, en los términos que indique la ley."
Capitulo IV,Participación Democrática,Artículo 162,3. Se creará un registro del pueblo tribal afrodescendiente chileno bajo las mismas reglas del presente artículo.
Capitulo IV,Participación Democrática,Artículo 163,"1. Las organizaciones políticas reconocidas legalmente implementarán la paridad de género en sus espacios de dirección, asegurando la igualdad sustantiva en sus dimensiones organizativa y electoral y promoviendo la plena participación política de las mujeres. A su vez, deberán destinar un financiamiento electoral proporcional al número de dichas candidaturas."
Capitulo IV,Participación Democrática,Artículo 163,2. El Estado y las organizaciones políticas deberán tomar las medidas necesarias para erradicar la violencia de género con el fin de asegurar que todas las personas ejerzan plenamente sus derechos políticos.
Capitulo IV,Participación Democrática,Artículo 163,3. La ley arbitrará los medios para incentivar la participación de las personas de las diversidades y disidencias sexuales y de género en los procesos electorales.
Capitulo IV,Participación Democrática,Artículo 164,"1. Un órgano autónomo, con personalidad jurídica y patrimonio propio, denominado Servicio Electoral, ejerce la administración, supervigilancia y fiscalización de los procesos electorales y plebiscitarios; del cumplimiento de las normas sobre transparencia, límite y control del gasto electoral; de las normas sobre organizaciones políticas; de las normas relativas a mecanismos de democracia directa y participación ciudadana, así como las demás funciones que señalen la Constitución y la ley."
Capitulo IV,Participación Democrática,Artículo 164,2. La dirección superior del Servicio Electoral corresponde a un consejo directivo que ejercerá de forma exclusiva las atribuciones que le encomienden la Constitución y las leyes.
Capitulo IV,Participación Democrática,Artículo 164,"3. Dicho consejo está integrado por cinco consejeras y consejeros designados por la Presidenta o el Presidente de la República, con el acuerdo del Congreso de Diputadas y Diputados y de la Cámara de las Regiones, en sesión conjunta y por la mayoría de sus integrantes en ejercicio. Durarán ocho años en sus cargos, no podrán ser reelegidos y se renovarán por parcialidades cada cuatro años."
Capitulo IV,Participación Democrática,Artículo 164,"4. Las consejeras y los consejeros solo podrán ser removidos por la Corte Suprema a requerimiento de la Presidenta o del Presidente de la República, de la mayoría absoluta de los miembros en ejercicio del Congreso de Diputadas y Diputados o de la Cámara de las Regiones, por infracción grave a la Constitución o a las leyes, incapacidad legal sobreviniente, mal comportamiento o negligencia manifiesta en el ejercicio de sus funciones. La Corte conocerá del asunto en pleno especialmente convocado al efecto y para acordar la remoción deberá reunir el voto conforme de la mayoría de sus integrantes."
Capitulo IV,Participación Democrática,Artículo 164,"5. En lo referente a la democracia participativa y a los mecanismos consagrados en esta Constitución, es función del Servicio Electoral promover la información, educación y participación ciudadana o electoral en relación con tales procesos, en colaboración con otros organismos del Estado y la sociedad civil. También deberá velar por la implementación y la recta ejecución de estos mecanismos."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 165
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. El ejercicio de las funciones públicas obliga a sus titulares a dar cumplimiento a los principios de probidad, transparencia y rendición de cuentas en todas sus actuaciones. Además, se rige por los principios de eficiencia, eficacia, responsabilidad, publicidad, buena fe, interculturalidad, enfoque de género, inclusión, no discriminación y sustentabilidad."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. La función pública se deberá brindar con pertinencia territorial, cultural y lingüística."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 166
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. El principio de probidad consiste en observar una conducta funcionaria responsable e intachable, desempeñando la función o el cargo correspondiente en forma leal, honesta, objetiva e imparcial, sin incurrir en discriminaciones de ningún tipo, con preeminencia del interés general por sobre el particular."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. Las autoridades electas y demás autoridades, funcionarias y funcionarios que determine la ley deberán declarar sus intereses y patrimonio en forma pública. La ley regulará los casos y las condiciones en las que delegarán a terceros la administración de aquellos bienes y obligaciones que supongan un conflicto de interés en el ejercicio de la función pública. Asimismo, podrá considerar otras medidas apropiadas para resolverlos."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 167
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. La Constitución asegura a todas las personas la transparencia de la información pública facilitando su acceso de manera comprensible y oportuna, periódica, proactiva, legible y en formatos abiertos, en los plazos y condiciones que la ley establezca. El principio de transparencia exige a los órganos del Estado que la información pública sea puesta a disposición de toda persona que la requiera y procurando su oportuna entrega y accesibilidad."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. Es pública la información elaborada con presupuesto público y toda otra información que obre en poder o custodia del Estado, cualquiera sea su formato, soporte, fecha de creación, origen, clasificación o procesamiento."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,3. Toda institución que desarrolle una función pública o que administre recursos públicos deberá dar cumplimiento al principio de transparencia.
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"4. Solo la ley puede establecer la reserva o el secreto de dicha información, por razones de seguridad del Estado o el interés nacional, protección de los derechos de las personas, datos personales o cuando su publicidad afecte el debido cumplimiento de las funciones de la respectiva institución, conforme a sus fines."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 168
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"Los órganos del Estado y quienes ejercen una función pública deben rendir cuenta y asumir la responsabilidad en el ejercicio de su cargo, en la forma y las condiciones que establezca la ley. El Estado promoverá la participación activa de las personas y la sociedad civil en la fiscalización del cumplimiento de este deber."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 169
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. El Consejo para la Transparencia es un órgano autónomo, especializado y objetivo con personalidad jurídica y patrimonio propio, encargado de promover la transparencia de la función pública, fiscalizar el cumplimiento de las normas sobre transparencia y publicidad de la información de los órganos del Estado y garantizar el derecho de acceso a la información pública."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. La ley regulará su composición, organización, funcionamiento y atribuciones."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 170
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,1. La corrupción es contraria al bien común y atenta contra el sistema democrático.
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. Es deber del Estado promover la integridad de la función pública y erradicar la corrupción en todas sus formas, tanto en el sector público como en el privado. En cumplimiento de lo anterior, deberá adoptar medidas eficaces para su estudio, prevención, investigación, persecución y sanción."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"3. Los órganos competentes deberán coordinar su actuar a través de las instancias y los mecanismos que correspondan para el cumplimiento de estos fines y perseguir la aplicación de las sanciones administrativas, civiles y penales que correspondan, en la forma que determine la ley."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 171
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"El Estado asegura a todas las personas la debida protección, confidencialidad e indemnidad al denunciar infracciones en el ejercicio de la función pública, especialmente faltas a la probidad, transparencia y hechos de corrupción."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 172
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"No podrán optar a cargos públicos ni de elección popular las personas condenadas por crímenes de lesa humanidad, delitos sexuales y de violencia intrafamiliar, aquellos vinculados a corrupción como fraude al fisco, lavado de activos, soborno, cohecho, malversación de caudales públicos y los demás que así establezca la ley. Los términos y plazos de estas inhabilidades se determinarán por ley."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 173
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"Respecto de las altas autoridades del Estado, la ley establecerá mayores exigencias y estándares de responsabilidad para el cumplimiento de los principios de probidad, transparencia y rendición de cuentas."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 174
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"Una comisión fijará las remuneraciones de las autoridades de elección popular, así como de quienes sirvan de confianza exclusiva de ellas. Las remuneraciones serán fijadas cada cuatro años, con al menos dieciocho meses de anterioridad al término de un período presidencial. Los acuerdos de la comisión serán públicos, se fundarán en antecedentes técnicos y deberán garantizar una retribución adecuada a la responsabilidad del cargo. Una ley establecerá la integración, el funcionamiento y las atribuciones de esta comisión."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 175
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. La Administración pública tiene por objeto satisfacer necesidades de las personas y las comunidades. Se somete en su organización y funcionamiento a los principios de juridicidad, celeridad, objetividad, participación, control, jerarquía, buen trato y los demás principios que señalan la Constitución y la ley."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. Los órganos de la Administración ejecutarán políticas públicas, planes y programas y proveerán o garantizarán, en su caso, la prestación de servicios públicos en forma continua y permanente."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"3. La ley establecerá la organización básica de la Administración pública y podrá conferir a sus órganos, entre otras, potestades normativas, fiscalizadoras, instructoras, interpretativas y sancionatorias. En ningún caso estas potestades implican ejercicio de jurisdicción."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"4. Cada autoridad y jefatura, dentro del ámbito de su competencia, podrá dictar normas, resoluciones e instrucciones para el mejor y más eficaz desarrollo de sus funciones."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,5. Cualquier persona que haya sido vulnerada en sus derechos por la Administración pública podrá reclamar ante las instancias administrativas y jurisdiccionales que establezcan esta Constitución y la ley.
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 176
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. Es deber del Estado proveer de servicios públicos universales y de calidad, los cuales contarán con un financiamiento suficiente."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. El Estado planificará y coordinará de manera intersectorial la provisión, prestación y cobertura de estos servicios, bajo los principios de generalidad, uniformidad, regularidad y pertinencia territorial."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 177
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,1. La Administración pública desarrolla sus funciones propias y habituales a través de funcionarias y funcionarios públicos.
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. Los cargos que esta Constitución o la ley califiquen como de exclusiva confianza, atendiendo a la naturaleza de sus funciones, son parte del Gobierno y tendrán el régimen de ingreso, desempeño y cesación que establezca la ley."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"3. No podrán ser nombradas en la Administración pública las personas que tengan la calidad de cónyuge, conviviente civil o parientes hasta el cuarto grado de consanguinidad y segundo de afinidad, inclusive, respecto de las autoridades y de los funcionarios directivos del organismo del Estado al que postulan. Se exceptúan los nombramientos que se hagan en aplicación de las normas vigentes sobre ingreso o ascenso por méritos en cargos de carrera."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 178
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. El Estado definirá mecanismos de modernización de sus procesos y organización; adecuará su funcionamiento a las condiciones sociales, ambientales y culturales de cada localidad; utilizará los avances de las ciencias, la tecnología, los conocimientos y la innovación para promover la optimización y mejora continua en la provisión de los bienes y servicios públicos, y destinará los recursos necesarios para esos fines. Asimismo, promoverá la participación y la gestión eficiente acorde a las necesidades de las personas y comunidades."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. Un organismo estará a cargo de la elaboración de planes para promover la modernización de la Administración del Estado, monitorear su implementación, elaborar diagnósticos periódicos sobre el funcionamiento de los servicios públicos y las demás funciones, conforme lo establezca la ley. Contará con un consejo consultivo cuya integración considerará, entre otros, a usuarias y usuarios y funcionarias y funcionarios de los servicios públicos y las entidades territoriales."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 179
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. El Servicio Civil está integrado por las funcionarias y los funcionarios públicos que, bajo la dirección del Gobierno, los gobiernos regionales o las municipalidades, desarrollan las funciones de la Administración pública. Se excluyen del Servicio Civil los cargos de exclusiva confianza."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. El ingreso a estas funciones se realizará mediante un sistema abierto, transparente, imparcial, ágil y que privilegie el mérito, la especialidad e idoneidad para el cargo, observando criterios objetivos y predeterminados."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"3. El desarrollo, la evaluación de desempeño y el cese en estas funciones deberán respetar su carácter técnico y profesional. La ley regulará las bases de la carrera funcionaria, permitiendo la movilidad de los funcionarios dentro de toda la Administración pública y la capacitación funcionaria, teniendo en cuenta la pertinencia territorial y cultural del lugar en el que se presta el servicio. Además, establecerá un sistema de formación, capacitación y perfeccionamiento de las funcionarias y los funcionarios públicos."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 180
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. La Dirección del Servicio Civil es un órgano autónomo, con personalidad jurídica y patrimonio propio, encargado del fortalecimiento de la función pública y de los procedimientos de selección de cargos en la Administración pública y demás entidades que establezcan la Constitución y la ley, resguardando los principios de transparencia, objetividad, no discriminación y mérito. Sus atribuciones no afectarán las competencias que, en el ámbito de la gestión, correspondan a las autoridades y jefaturas de los servicios públicos. La ley regulará su organización y demás atribuciones."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,2. Esta Dirección regulará los procesos de selección de candidatas y candidatos
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"a cargos del Sistema de Alta Dirección Pública, o de aquellos que deben seleccionarse con su participación, y conducir los concursos destinados a proveer cargos de jefaturas superiores de servicios, a través de un Consejo de Alta Dirección Pública."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 181
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. Los cuerpos de bomberos de Chile conforman una institución perteneciente al sistema de protección civil, cuyo objeto es atender las emergencias causadas por la naturaleza o el ser humano, sin perjuicio de la competencia específica que tengan otros organismos públicos y/o privados."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. El Estado deberá dar cobertura financiera para cubrir la totalidad de sus gastos operacionales, capacitación y equipos, como también otorgar cobertura médica a su personal por accidentes o enfermedades contraídas"
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,por actos de servicio.
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"3. Los cuerpos de bomberos de Chile se sujetarán en todas sus actuaciones a los principios de probidad, transparencia y rendición de cuentas."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 182
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. El Estado participa en la economía para cumplir sus fines constitucionales, de acuerdo con los principios y objetivos económicos de solidaridad, pluralismo económico, diversificación productiva y economía social y solidaria. En el ejercicio de sus potestades regula, fiscaliza, fomenta y desarrolla actividades económicas, conforme a lo establecido en esta Constitución y la ley."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"2. La Constitución reconoce al Estado iniciativa para desarrollar actividades económicas, mediante las formas diversas de propiedad, gestión y organización que autorice la ley."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"3. Las empresas públicas se crearán por ley, se regirán por el régimen jurídico que esta determine y les serán aplicables las normas sobre probidad y rendición de cuentas."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"4. El Estado fomentará la innovación, los mercados locales, los circuitos cortos y la economía circular."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"5. El Estado debe prevenir y sancionar los abusos en los mercados. Las prácticas de colusión entre empresas y abusos de posición dominante, así como las concentraciones empresariales que afecten el funcionamiento eficiente, justo y leal de los mercados, se entenderán como conductas contrarias al interés social. La ley establecerá las sanciones a los responsables."
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,### Artículo 183
Capítulo V,Buen Gobierno y Función Pública,Artículo 164,"1. Las finanzas públicas se conducirán conforme a los principios de sostenibilidad y responsabilidad fiscal, los que guiarán el actuar del Estado en todas sus instituciones y en todos sus niveles."
